,3300100.0,3300159.0,3300209.0,3300225.0,3300233.0,3300258.0,3300308.0,3300407.0,3300456.0,3300506.0,3300605.0,3300704.0,3300803.0,3300902.0,3301009.0,3301108.0,3300936.0,3301157.0,3301207.0,3301306.0,3300951.0,3301405.0,3301504.0,3301603.0,3301702.0,3301801.0,3301850.0,3301876.0,3301900.0,3302007.0,3302056.0,3302106.0,3302205.0,3302254.0,3302270.0,3302304.0,3302403.0,3302452.0,3302502.0,3302601.0,3302700.0,3302809.0,3302858.0,3302908.0,3303005.0,3303104.0,3303203.0,3303302.0,3303401.0,3303500.0,3303609.0,3303708.0,3303807.0,3303856.0,3303906.0,3303955.0,3304003.0,3304102.0,3304110.0,3304128.0,3304144.0,3304151.0,3304201.0,3304300.0,3304409.0,3304508.0,3304524.0,3304557.0,3304607.0,3304706.0,3304805.0,3304755.0,3304904.0,3305000.0,3305109.0,3305133.0,3305158.0,3305208.0,3305307.0,3305406.0,3305505.0,3305554.0,3305604.0,3305703.0,3305752.0,3305802.0,3305901.0,3306008.0,3306107.0,3306156.0,3306206.0,3306305.0
name,Angra dos Reis,Aperibé,Araruama,Areal,Armação dos Búzios,Arraial do Cabo,Barra do Piraí,Barra Mansa,Belford Roxo,Bom Jardim,Bom Jesus do Itabapoana,Cabo Frio,Cachoeiras de Macacu,Cambuci,Campos dos Goytacazes,Cantagalo,Carapebus,Cardoso Moreira,Carmo,Casimiro de Abreu,Comendador Levy Gasparian,Conceição de Macabu,Cordeiro,Duas Barras,Duque de Caxias,Engenheiro Paulo de Frontin,Guapimirim,Iguaba Grande,Itaboraí,Itaguaí,Italva,Itaocara,Itaperuna,Itatiaia,Japeri,Laje do Muriaé,Macaé,Macuco,Magé,Mangaratiba,Maricá,Mendes,Mesquita,Miguel Pereira,Miracema,Natividade,Nilópolis,Niterói,Nova Friburgo,Nova Iguaçu,Paracambi,Paraíba do Sul,Paraty,Paty do Alferes,Petrópolis,Pinheiral,Piraí,Porciúncula,Porto Real,Quatis,Queimados,Quissamã,Resende,Rio Bonito,Rio Claro,Rio das Flores,Rio das Ostras,Rio de Janeiro,Santa Maria Madalena,Santo Antônio de Pádua,São Fidélis,São Francisco de Itabapoana,São Gonçalo,São João da Barra,São João de Meriti,São José de Ubá,São José do Vale do Rio Preto,São Pedro da Aldeia,São Sebastião do Alto,Sapucaia,Saquarema,Seropédica,Silva Jardim,Sumidouro,Tanguá,Teresópolis,Trajano de Moraes,Três Rios,Valença,Varre-Sai,Vassouras,Volta Redonda
city to capital],3597,15,2579,122,405,446,805,1214,70659,93,161,2441,1210,93,2760,112,23,23,60,437,98,103,152,28,119599,331,3259,608,12399,12541,63,131,370,189,15144,142,4398,18,20278,3174,9385,569,29721,1220,250,92,33067,75835,2075,110846,2479,453,367,443,6761,157,250,92,53,49,22235,99,1131,934,126,54,1375,0,39,0,0,66,0,87,0,18,185,0,38,82,0,0,0,20,0,0,0,0,0,13,0,0
capital to city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,100,0,73001,0,85875,0,0,1423,0,0,1808,11468,357,0,789,2840,43,1108,923,0,542,2766
total flow to capital,3597,15,2579,122,405,446,805,1214,70659,93,161,2441,1210,93,2760,112,23,23,60,437,98,103,152,28,119599,331,3259,608,12399,12541,63,131,370,189,15144,142,4398,18,20278,3174,9385,569,29721,1220,250,92,33067,75835,2075,110846,2479,453,367,443,6761,157,250,92,53,49,22235,99,1131,934,126,54,1375,0,39,292,100,66,73001,87,85875,18,185,1423,38,82,1808,11468,357,20,789,2840,43,1108,923,13,542,2766
higher flow to a city in-out,91,7,43,5,38,11,94,192,227,45,61,36,47,6,128,0,5,24,21,16,30,0,13,6,508,9,41,31,73,116,20,12,85,14,12,4,222,0,58,14,57,15,52,0,14,6,41,623,217,221,5,74,59,0,364,26,23,6,25,18,44,20,222,58,6,26,30,0,0,9,72,22,139,0,127,0,13,34,0,6,12,23,5,5,0,70,6,76,44,3,136,372
higher flow to a city out-in,25,0,0,0,20,0,25,0,26,0,0,54,0,0,274,20,0,0,0,0,0,0,0,0,129,0,0,0,0,66,0,28,30,0,43,0,582,0,0,22,35,0,0,0,0,0,0,132,93,126,0,0,0,0,106,0,0,0,0,0,0,0,28,0,0,0,50,2168,10,0,0,0,137,0,7,0,0,18,0,0,0,27,0,0,0,29,0,52,18,0,28,117
cod in-out,3550308,3106200,3550308,4106902,3550308,3550308,3550308,3550308,3550308,3550308,3205309,3550308,3550308,3550308,3550308,0,1302603,3205309,3550308,4106902,3550308,0,3550308,3550308,3550308,2111300,3550308,5300108,3550308,3550308,3205309,3205309,3550308,3550308,3106200,3550308,3550308,0,3550308,2611606,3550308,3550308,3550308,0,2611606,3106200,3550308,3550308,3550308,3550308,3550308,3550308,3550308,0,3550308,5208707,3550308,3106200,3550308,3550308,2507507,3550308,3550308,3550308,3550308,3550308,3550308,0,0,2927408,3205309,3205309,3205309,0,3550308,0,3205309,3550308,0,3550308,4314902,3550308,3550308,5300108,0,3550308,3550308,3550308,3106200,3205309,3550308,3550308
cod out-in,4106902,0,0,0,3106200,0,3106200,0,4205407,0,0,3106200,0,0,3205309,3106200,0,0,0,0,0,0,0,0,3205309,0,0,0,0,1501402,0,3106200,3106200,0,3550308,0,2927408,0,0,3106200,2927408,0,0,0,0,0,0,3205309,3106200,3106200,0,0,0,0,2408102,0,0,0,0,0,0,0,3205309,0,0,0,3205309,3106200,4205407,0,0,0,2927408,0,4205407,0,0,3106200,0,0,0,2111300,0,0,0,3205309,0,3106200,2927408,0,3106200,3106200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
